date,team,opponent,result,goals_scored,goals_conceded,goal_diff,elo_before,opponent_elo,elo_after,world_cup_year,round,went_to_penalties,won_on_penalties
2010-07-02,Brazil,Netherlands,Loss,1,2,-1,1613.459567662412,1647.0121739239153,1586.3477595508443,2010,Quarter Final,False,False
2014-06-28,Brazil,Chile,Win,1,1,0,1807.048895470079,1500.0,1785.7999896681554,2014,Round of 16,True,True
2014-07-04,Brazil,Colombia,Win,2,1,1,1785.7999896681554,1752.3591981588984,1812.9213634514715,2014,Quarter Final,False,False
2014-07-08,Brazil,Germany,Loss,1,7,-6,1812.9213634514715,1838.286273607327,1785.1076629876363,2014,Semi Final,False,False
2018-07-02,Brazil,Mexico,Win,2,0,2,1859.6041987779508,1677.7613078750674,1875.1949276230573,2018,Round of 16,False,False
2018-07-06,Brazil,Belgium,Loss,1,2,-1,1875.1949276230573,1885.977005227012,1846.125628285261,2018,Quarter Final,False,False
2022-12-05,Brazil,South Korea,Win,4,1,3,1857.4101299836173,1747.6811674705948,1878.2383106617865,2022,Round of 16,False,False
2022-12-09,Brazil,Croatia,Loss,1,1,0,1878.2383106617865,1753.1371489077828,1867.8800376274453,2022,Quarter Final,True,False
2014-06-28,Colombia,Uruguay,Win,2,0,2,1727.594616289915,1666.335244333375,1752.3591981588984,2014,Round of 16,False,False
2014-07-04,Colombia,Brazil,Loss,1,2,-1,1752.3591981588984,1812.9213634514715,1727.5362277064091,2014,Quarter Final,False,False
2018-07-03,Colombia,England,Loss,1,1,0,1693.06033228171,1747.5879095645785,1697.730342100445,2018,Round of 16,True,False
2018-07-01,Croatia,Denmark,Win,1,1,0,1732.4883125509386,1500.0,1714.9555964686624,2018,Round of 16,True,True
2018-07-07,Croatia,Russia,Win,2,2,0,1714.9555964686624,1500.0,1698.4490977189862,2018,Quarter Final,True,True
2018-07-11,Croatia,England,Win,2,1,1,1698.4490977189862,1770.772373385881,1734.6053268153214,2018,Semi Final,False,False
2018-07-15,Croatia,France,Loss,2,4,-2,1734.6053268153214,1874.4099356302652,1716.0650894702153,2018,Final,False,False
2022-12-05,Croatia,Japan,Win,1,1,0,1753.3878841039666,1750.48400549745,1753.1371489077828,2022,Round of 16,True,True
2022-12-09,Croatia,Brazil,Win,1,1,0,1753.1371489077828,1867.8800376274453,1762.699688142875,2022,Quarter Final,True,True
2022-12-13,Croatia,Argentina,Loss,0,3,-3,1762.699688142875,1859.8305853134548,1740.874766465683,2022,Semi Final,False,False
2010-06-27,England,Germany,Loss,1,4,-3,1564.4595949061984,1555.8574737380936,1533.716979792864,2010,Round of 16,False,False
2018-07-03,England,Colombia,Win,1,1,0,1752.6864881085228,1693.06033228171,1747.5879095645785,2018,Round of 16,True,True
2018-07-07,England,Sweden,Win,2,0,2,1747.5879095645785,1667.2542802389262,1770.772373385881,2018,Quarter Final,False,False
2018-07-11,England,Croatia,Loss,1,2,-1,1770.772373385881,1734.6053268153214,1737.6606910551832,2018,Semi Final,False,False
2022-12-04,England,Senegal,Win,3,0,3,1774.201489175185,1747.4533839235878,1801.8964243771884,2022,Round of 16,False,False
2022-12-10,England,France,Loss,1,2,-1,1801.8964243771884,1795.747512215484,1771.3655400481398,2022,Quarter Final,False,False
2014-06-30,France,Nigeria,Win,2,0,2,1690.3953728947772,1500.0,1705.4247367532678,2014,Round of 16,False,False
2014-07-04,France,Germany,Loss,0,1,-1,1705.4247367532678,1786.591794835453,1682.308485385182,2014,Quarter Final,False,False
2018-06-30,France,Argentina,Win,4,3,1,1778.0260553526855,1675.5010831535708,1799.4216523873008,2018,Round of 16,False,False
2018-07-06,France,Uruguay,Win,2,0,2,1799.4216523873008,1710.3466054610512,1821.894496330056,2018,Quarter Final,False,False
2018-07-10,France,Belgium,Win,1,0,1,1821.894496330056,1850.5055817359016,1854.3594066937444,2018,Semi Final,False,False
2018-07-15,France,Croatia,Win,4,2,2,1854.3594066937444,1734.6053268153214,1874.4099356302647,2018,Final,False,False
2022-12-04,France,Poland,Win,3,1,2,1786.053846165351,1500.0,1795.747512215484,2022,Round of 16,False,False
2022-12-10,France,England,Win,2,1,1,1795.747512215484,1771.3655400481398,1823.6456527874384,2022,Quarter Final,False,False
2022-12-14,France,Morocco,Win,2,0,2,1823.6456527874384,1798.56559450514,1851.4838201656123,2022,Semi Final,False,False
2022-12-18,France,Argentina,Loss,3,3,0,1851.4838201656123,1859.1100062975688,1852.1422122752736,2022,Final,True,False
2010-06-27,Germany,England,Win,4,1,3,1555.8574737380936,1533.716979792864,1583.948293466775,2010,Round of 16,False,False
2010-07-03,Germany,Argentina,Win,4,0,4,1583.948293466775,1624.172660889849,1617.4061089775655,2010,Quarter Final,False,False
2010-07-07,Germany,Spain,Loss,0,1,-1,1617.4061089775655,1623.837949988476,1587.961415339573,2010,Semi Final,False,False
